Age,Number,Percent
All ages,"316,168",100
Under 5 years,"19,901",6.3
5 to 9 years,"20,473",6.5
10 to 14 years,"20,606",6.5
15 to 19 years,"20,840",6.6
20 to 24 years,"22,215",7
25 to 29 years,"21,867",6.9
30 to 34 years,"21,139",6.7
35 to 39 years,"19,916",6.3
40 to 44 years,"20,003",6.3
45 to 49 years,"20,563",6.5
50 to 54 years,"22,233",7
55 to 59 years,"21,419",6.8
60 to 64 years,"18,998",6
65 to 69 years,"15,728",5
70 to 74 years,"11,209",3.5
75 to 79 years,"8,002",2.5
80 to 84 years,"5,480",1.7
85 years and over,"5,575",1.8
65 years and over,"45,994",14.5
